endTime,artistName,trackName,msPlayed
2021-07-26 06:25,Anuv Jain,Gul,217241
2021-07-26 06:25,KSI,Patience (feat. YUNGBLUD & Polo G),2985
2021-07-26 06:29,Anuv Jain,Gul,217241
2021-07-27 12:58,KSI,Patience (feat. YUNGBLUD & Polo G),47523
2021-07-27 13:01,KSI,Holiday,193733
2021-07-27 13:04,Tedi Pagg,Tu Hi Das De,172831
2021-07-27 13:08,Masked Wolf,Astronaut In The Ocean,0
2021-07-27 13:08,Khalid,8TEEN,631
2021-07-27 13:08,Ro Ransom,See Me Fall (feat. Kensei Abbot),804
2021-07-27 13:08,Jon Bellion,Hand Of God - Outro,1318
2021-07-27 13:08,Bruno Mars,Talking to the Moon,927
2021-07-27 13:08,Hozier,Take Me To Church,1156
2021-07-27 13:08,YNW Melly,Suicidal,888
2021-07-27 13:08,Travis Scott,Goosebumps - Remix,634
2021-07-27 13:08,AP Dhillon,Insane,165227
2021-07-27 13:08,Ali Gatie,Can't Let You Go,680
2021-07-27 13:08,Jon Bellion,Dead Man Walking,0
2021-07-27 13:08,The Lumineers,Sleep On The Floor,1099
2021-07-27 13:08,Duncan Laurence,Arcade,768
2021-07-27 13:08,Duckwrth,Start a Riot,860
2021-07-27 13:08,The Kid LAROI,WITHOUT YOU,0
2021-07-27 13:08,Jon Bellion,Paper Planes,0
2021-07-27 13:08,The Lumineers,Cleopatra,706
2021-07-27 13:08,Kailash Kher,Saiyyan,926
2021-07-27 13:08,Alesso,Midnight (feat. Liam Payne),0
2021-07-27 13:08,Jon Bellion,Ungrateful Eyes,1121
2021-07-27 13:11,Russ,"Psycho, Pt. 2",161985
2021-07-27 13:14,Pop Smoke,What You Know Bout Love,160000
2021-07-28 05:48,Petit Biscuit,Sunset Lover,91905
2021-07-28 06:00,Petit Biscuit,Sunset Lover,185089
2021-07-28 06:01,Petit Biscuit,I Leave Again,48728
2021-07-28 06:01,Khalid,8TEEN,3862
2021-07-28 06:01,Mako,Breathe,2898
2021-07-28 06:01,Trinix,No Sleep,5275
2021-07-28 06:05,Anuv Jain,Gul,213198
2021-07-29 05:42,Petit Biscuit,Sunset Lover,237792
2021-07-29 05:47,Rival,Seasons,197336
2021-08-01 10:55,Petit Biscuit,Sunset Lover,237792
2021-08-01 11:00,Rival,Seasons,248275
2021-08-01 11:03,Anuv Jain,Gul,217241
2021-08-01 11:03,KSI,Patience (feat. YUNGBLUD & Polo G),8866
2021-08-01 11:03,KSI,Holiday,5150
2021-08-01 11:06,Tedi Pagg,Tu Hi Das De,172831
2021-08-01 11:10,AP Dhillon,Insane,206060
2021-08-01 11:13,Hozier,Take Me To Church,210036
2021-08-03 09:20,DallasK,Try Again (feat. Lauv),189076
2021-08-03 09:24,DallasK,Try Again (feat. Lauv),189076
2021-08-03 09:25,The Him,Always,44214
2021-08-03 14:40,Petit Biscuit,Sunset Lover,30000
2021-08-03 14:40,Anuv Jain,Gul,3465
2021-08-03 14:40,Rival,Seasons,27100
2021-08-07 19:57,Petit Biscuit,Sunset Lover,1002
2021-08-12 20:47,Anuv Jain,Gul,217241
2021-08-19 11:16,Jasleen Royal,"Ranjha (From ""Shershaah"")",47448
2021-08-21 04:01,Jasleen Royal,"Ranjha (From ""Shershaah"")",228621
2021-08-25 03:04,Jasleen Royal,"Ranjha (From ""Shershaah"")",76008
2021-08-25 03:08,Jasleen Royal,"Ranjha (From ""Shershaah"")",163519
2021-08-25 03:12,Petit Biscuit,Sunset Lover,237792
2021-08-25 03:17,Rival,Seasons,248275
2021-08-25 03:20,Anuv Jain,Gul,217241
2021-08-25 03:23,KSI,Patience (feat. YUNGBLUD & Polo G),181720
2021-08-25 03:26,KSI,Holiday,193733
2021-08-25 03:29,Tedi Pagg,Tu Hi Das De,153963
2021-08-25 14:38,Jasleen Royal,"Ranjha (From ""Shershaah"")",157266
2021-08-25 14:49,Jasleen Royal,"Ranjha (From ""Shershaah"")",225388
2021-08-25 14:54,Petit Biscuit,Sunset Lover,888
2021-08-25 14:54,Jasleen Royal,"Ranjha (From ""Shershaah"")",5335
2021-08-25 14:54,Rival,Seasons,23
2021-08-25 14:58,Anuv Jain,Gul,217241
2021-08-25 15:02,Tedi Pagg,Tu Hi Das De,2680
2021-08-25 15:02,KSI,Patience (feat. YUNGBLUD & Polo G),119167
2021-08-25 15:05,KSI,Holiday,193733
2021-08-25 15:07,Tedi Pagg,Tu Hi Das De,101737
2021-08-25 15:08,AP Dhillon,Insane,25615
2021-08-27 04:54,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
2021-08-27 04:57,KAYJAY,Akhiyan da Surma - slowed + reverb,141156
2021-08-27 05:01,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
2021-08-27 05:06,Jasleen Royal,"Ranjha (From ""Shershaah"")",228855
2021-08-27 05:10,Petit Biscuit,Sunset Lover,236258
2021-08-28 12:12,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
2021-08-28 12:16,Jasleen Royal,"Ranjha (From ""Shershaah"")",228855
2021-08-28 12:20,Petit Biscuit,Sunset Lover,237792
2021-08-28 12:26,Rival,Seasons,248275
2021-08-28 12:29,Anuv Jain,Gul,217241
2021-08-28 12:29,KSI,Patience (feat. YUNGBLUD & Polo G),6043
2021-08-28 12:33,The Lumineers,Cleopatra,201413
2021-08-28 12:36,The Lumineers,Sleep On The Floor,211851
2021-08-28 12:38,Ali Gatie,Can't Let You Go,16858
2021-08-28 12:42,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
