,genre,artist,track,popularity,danceability,
54115,R&B,Usher,Love in This Club (feat. Young Jeezy),66,0.573,
54131,R&B,Jungle,Beat 54 (All Good Now),66,0.646,
54133,R&B,Jorja Smith,Lost & Found,66,0.653,
54798,R&B,Noname,"Shadow Man (feat. Phoelix, Smino & Saba)",64,0.611,
54867,R&B,ROSALÍA,PIENSO EN TU MIRÁ - Cap.3: Celos,70,0.647,
54870,R&B,Beyoncé,Dangerously In Love,60,0.609,
54967,R&B,Destiny's Child,Cater 2 U,63,0.605,
55093,R&B,Ellie Goulding,"Still Falling For You - From ""Bridget Jones's Baby""",69,0.43,
56389,R&B,Christina Aguilera,Fall In Line,67,0.39,
56556,R&B,Rihanna,Russian Roulette,66,0.48,
56766,R&B,Fifth Harmony,He Like That,65,0.592,
56843,R&B,Kehlani,Everything Is Yours,57,0.608,
56985,R&B,Zara Larsson,Ruin My Life - Piano Version,67,0.65,
60885,R&B,JP Cooper,Closer,62,0.513,
61698,R&B,Yung Bleu,Know Who U Are,46,0.807,
63878,Folk,The Shins,Know Your Onion!,46,0.487,
66640,Hip-Hop,Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,84,0.698,
66665,Hip-Hop,2 Chainz,Rule The World (feat. Ariana Grande),80,0.592,
66691,Hip-Hop,DJ Khaled,No Brainer,84,0.552,
66692,Hip-Hop,Kendrick Lamar,All The Stars (with SZA),84,0.698,
66695,Hip-Hop,Drake,Mob Ties,80,0.755,
66697,Hip-Hop,Mac Miller,Self Care,81,0.52,
66752,Hip-Hop,KIDS SEE GHOSTS,Reborn,77,0.585,
66770,Hip-Hop,Tee Grizzley,First Day Out,75,0.587,
66773,Hip-Hop,ScHoolboy Q,X (with 2 Chainz & Saudi),77,0.768,
66784,Hip-Hop,Future,Hard Work Pays Off,77,0.736,
66814,Hip-Hop,A$AP Rocky,Sundress,77,0.721,
66845,Hip-Hop,Kodak Black,Codeine Dreaming (feat. Lil Wayne),77,0.736,
66847,Hip-Hop,Mac Miller,Hurt Feelings,76,0.69,
66849,Hip-Hop,Drake,Headlines,74,0.636,
66852,Hip-Hop,J. Cole,Power Trip,73,0.667,
66854,Hip-Hop,Childish Gambino,Feels Like Summer,76,0.554,
66858,Hip-Hop,Future,Low Life,76,0.722,
66893,Hip-Hop,Aminé,Heebiejeebies - Bonus,73,0.766,
