,artist,track,acousticness,energy,popularity,favorite,prediction
101657,Future,First Off (feat. Travis Scott),0.013,0.6829999999999999,83,0,1
101659,Juice WRLD,Feeling,0.2339999999999999,0.515,81,0,1
101661,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),0.0116,0.852,86,0,1
101664,Post Malone,Wow. - Remix,0.148,0.64,85,0,1
101670,Juice WRLD,Ring Ring (with Rvssian feat. Clever),0.0768,0.6729999999999999,79,0,1
101671,Juice WRLD,HeMotions,0.667,0.76,79,0,1
101672,Calvin Harris,Giant (with Rag'n'Bone Man),0.016,0.887,94,0,1
101681,Manuel Turizo,Esclavo de Tus Besos,0.113,0.6709999999999999,90,0,1
101683,Halsey,Without Me (with Juice WRLD),0.351,0.515,78,0,1
101685,AJR,100 Bad Days,0.0465,0.639,74,0,1
101687,Juice WRLD,ON GOD (feat. Young Thug),0.0925,0.722,75,0,1
101693,Gunna,Outstanding,0.309,0.73,75,0,1
101696,Juice WRLD,10 Feet,0.466,0.6809999999999999,75,0,1
101700,Lil Skies,Stop The Madness (feat. Gunna),0.0201,0.833,75,0,1
101701,Kygo,Happy Now,0.374,0.575,87,0,1
101707,Kehlani,Feels,0.259,0.609,76,0,1
101708,DJ Luian,Verte Ir,0.391,0.647,88,0,1
101709,Zara Larsson,Don't Worry Bout Me,0.0797,0.706,84,0,1
101711,Lil Tjay,Goat,0.148,0.6779999999999999,73,0,1
101714,Bea Miller,it's not u it's me,0.0204,0.568,76,0,1
101716,Martin Jensen,Nobody,0.2689999999999999,0.687,82,0,1
101719,Gesaffelstein,Lost in the Fire (feat. The Weeknd),0.0933,0.6709999999999999,75,0,1
101725,Lizzo,Tempo (feat. Missy Elliott),0.0573,0.722,75,0,1
101730,Luke Bryan,Knockin' Boots,0.129,0.682,73,0,1
101732,DaBaby,Baby Sitter (feat. Offset),0.0219,0.73,74,0,1
101733,NAV,Habits,0.23,0.534,74,0,1
101739,Lost Kings,Don't Kill My High,0.0363,0.932,75,0,1
101741,Gunna,Richard Millie Plain,0.356,0.674,71,0,1
101743,BLACKPINK,Kill This Love,0.302,0.855,83,0,1
101752,Bryce Vine,La La Land (feat. YG),0.223,0.469,72,0,1
101754,Chad Brownlee,Forever's Gotta Start Somewhere,0.053,0.759,72,0,1
101758,Maggie Rogers,Burning,0.21,0.688,72,0,1
101764,Lil Skies,Ok 4 Now,0.103,0.544,72,0,1
101765,Kehlani,Nunya (feat. Dom Kennedy),0.39,0.71,73,0,1
101777,Logic,Can I Kick It,0.609,0.774,71,0,1
101778,Flume,Friends,0.288,0.6679999999999999,74,0,1
101788,Charlie Puth,Done for Me (feat. Kehlani),0.193,0.632,76,0,1
101794,Rich The Kid,Woah (feat. Miguel & Ty Dolla $ign),0.103,0.703,71,0,1
101795,Tom Walker,Just You and I,0.456,0.696,83,0,1
101806,R3HAB,BAD!,0.309,0.816,78,0,1
101810,Logic,Time Machine,0.595,0.4639999999999999,69,0,1
101831,070 Shake,Glitter,0.557,0.622,71,0,1
101834,BLACKPINK,Don't Know What To Do,0.111,0.654,76,0,1
101836,Logic,Pretty Young Girl,0.206,0.637,69,0,1
101841,P!nk,Hustle,0.0802,0.794,73,0,1
101857,EVERGLOW,Bon Bon Chocolat,0.0343,0.828,78,0,1
101867,Hwa Sa,TWIT,0.122,0.813,77,0,1
101875,Brooks & Dunn,Neon Moon - with Kacey Musgraves,0.1669999999999999,0.552,69,0,1
101886,ILLENIUM,Crashing (feat. Bahari),0.342,0.6809999999999999,70,0,1
101890,Hozier,"Wasteland, Baby!",0.612,0.407,67,0,1
101914,KREAM,Deep End (feat. JHart) - Eden Prince Remix,0.0154,0.848,72,0,1
101945,Karol G,Punto G,0.00796,0.7509999999999999,73,0,1
101948,SG Lewis,Throwaway (with Clairo),0.784,0.49,72,0,1
